mode,scope,label,n_obs_labeled,n_label_classes,k,ari,nmi,homogeneity,completeness,v_measure,label_asw,label_asw_scaled,label_rows_in_full_order
joint,combined,celltype,5046,11,4,0.5787791329179847,0.5979837896920372,0.4915917101052479,0.7631468218031919,0.5979837896920372,0.0976425483822822,0.5488212741911411,"0,1,2,3,4"
joint,combined,Y.l1,7866,9,4,0.6974860896059695,0.6560449033537153,0.5752421030698235,0.7632577907683435,0.6560449033537152,0.1138655170798301,0.5569327585399151,"0,1,2,3,4"
joint,combined,Y,7866,12,4,0.3641601792082662,0.4764920771558474,0.3824298936599504,0.6319182348566393,0.4764920771558473,0.0024914017412811,0.5012457008706406,"0,1,2,3,4"
joint,combined,RegionLoupe,7866,9,5,0.7633442790182251,0.6767742096477668,0.6402222796067631,0.7177525409214416,0.6767742096477668,0.1138655170798301,0.5569327585399151,"0,1,2,3,4"
joint,combined,annotations,7866,11,5,0.6949877656142281,0.6299834406940683,0.5598460215452897,0.7202114097771459,0.6299834406940683,0.0999627262353897,0.5499813631176949,"0,1,2,3,4"
joint,combined,celltype,5046,11,5,0.673687361849951,0.6227990046509202,0.5493187613687492,0.7189732752031771,0.6227990046509202,0.0976425483822822,0.5488212741911411,"0,1,2,3,4"
joint,combined,Y.l1,7866,9,5,0.7633442790182251,0.6767742096477668,0.6402222796067631,0.7177525409214416,0.6767742096477668,0.1138655170798301,0.5569327585399151,"0,1,2,3,4"
joint,combined,Y,7866,12,5,0.4194228078014483,0.4902539861314935,0.4207003885583844,0.5873613194046386,0.4902539861314935,0.0024914017412811,0.5012457008706406,"0,1,2,3,4"
joint,combined,RegionLoupe,7866,9,6,0.5832580799202476,0.635724059319936,0.6448145108484311,0.6268863549450686,0.635724059319936,0.1138655170798301,0.5569327585399151,"0,1,2,3,4"
joint,combined,annotations,7866,11,6,0.490368805503863,0.5947319731204357,0.5639228263433529,0.6291020997091944,0.5947319731204357,0.0999627262353897,0.5499813631176949,"0,1,2,3,4"
joint,combined,celltype,5046,11,6,0.4811709861240154,0.5875134786772386,0.550495138256825,0.6298693826769834,0.5875134786772385,0.0976425483822822,0.5488212741911411,"0,1,2,3,4"
joint,combined,Y.l1,7866,9,6,0.5832580799202476,0.635724059319936,0.6448145108484311,0.6268863549450686,0.635724059319936,0.1138655170798301,0.5569327585399151,"0,1,2,3,4"
joint,combined,Y,7866,12,6,0.3173273642896655,0.4625501524566154,0.4222983763524104,0.5112836450765043,0.4625501524566154,0.0024914017412811,0.5012457008706406,"0,1,2,3,4"
joint,combined,RegionLoupe,7866,9,7,0.5736865470659068,0.6433069086728834,0.6722332783461362,0.6167672561041796,0.6433069086728835,0.1138655170798301,0.5569327585399151,"0,1,2,3,4"
joint,combined,annotations,7866,11,7,0.476382449760295,0.6028606203558734,0.587741402283438,0.6187782383556074,0.6028606203558733,0.0999627262353897,0.5499813631176949,"0,1,2,3,4"
joint,combined,celltype,5046,11,7,0.4700210006748114,0.5963025878908081,0.5744420866157115,0.6198927215991099,0.5963025878908083,0.0976425483822822,0.5488212741911411,"0,1,2,3,4"
joint,combined,Y.l1,7866,9,7,0.5736865470659068,0.6433069086728834,0.6722332783461362,0.6167672561041796,0.6433069086728835,0.1138655170798301,0.5569327585399151,"0,1,2,3,4"
joint,combined,Y,7866,12,7,0.3114261799693794,0.4685259167695384,0.4392912759504477,0.5019290755473618,0.4685259167695385,0.0024914017412811,0.5012457008706406,"0,1,2,3,4"
joint,combined,RegionLoupe,7866,9,8,0.4791077072546121,0.6165132841326215,0.6729815052884706,0.568787707973156,0.6165132841326215,0.1138655170798301,0.5569327585399151,"0,1,2,3,4"
joint,combined,annotations,7866,11,8,0.3661058479208814,0.5795079998686193,0.5885225786072438,0.5707654130181508,0.5795079998686193,0.0999627262353897,0.5499813631176949,"0,1,2,3,4"
joint,combined,celltype,5046,11,8,0.3689645707273457,0.5744544256678333,0.5746915204397183,0.5742175264469415,0.5744544256678333,0.0976425483822822,0.5488212741911411,"0,1,2,3,4"
joint,combined,Y.l1,7866,9,8,0.4791077072546121,0.6165132841326215,0.6729815052884706,0.568787707973156,0.6165132841326215,0.1138655170798301,0.5569327585399151,"0,1,2,3,4"
