sample_order,section,obs_name,section_n_total,section_n_sampled,sampling_seed
459,Mouse_Thymus1,20_71,4697,2635,0
460,Mouse_Thymus1,20_72,4697,2635,0
461,Mouse_Thymus1,20_73,4697,2635,0
462,Mouse_Thymus1,20_74,4697,2635,0
463,Mouse_Thymus1,20_75,4697,2635,0
464,Mouse_Thymus1,20_77,4697,2635,0
465,Mouse_Thymus1,20_78,4697,2635,0
466,Mouse_Thymus1,20_8,4697,2635,0
467,Mouse_Thymus1,20_82,4697,2635,0
468,Mouse_Thymus1,20_9,4697,2635,0
469,Mouse_Thymus1,21_10,4697,2635,0
470,Mouse_Thymus1,21_11,4697,2635,0
471,Mouse_Thymus1,21_13,4697,2635,0
472,Mouse_Thymus1,21_15,4697,2635,0
473,Mouse_Thymus1,21_16,4697,2635,0
474,Mouse_Thymus1,21_18,4697,2635,0
475,Mouse_Thymus1,21_19,4697,2635,0
476,Mouse_Thymus1,21_2,4697,2635,0
477,Mouse_Thymus1,21_20,4697,2635,0
478,Mouse_Thymus1,21_21,4697,2635,0
479,Mouse_Thymus1,21_22,4697,2635,0
480,Mouse_Thymus1,21_23,4697,2635,0
481,Mouse_Thymus1,21_25,4697,2635,0
482,Mouse_Thymus1,21_26,4697,2635,0
483,Mouse_Thymus1,21_28,4697,2635,0
484,Mouse_Thymus1,21_29,4697,2635,0
485,Mouse_Thymus1,21_30,4697,2635,0
486,Mouse_Thymus1,21_31,4697,2635,0
487,Mouse_Thymus1,21_32,4697,2635,0
488,Mouse_Thymus1,21_33,4697,2635,0
489,Mouse_Thymus1,21_34,4697,2635,0
490,Mouse_Thymus1,21_35,4697,2635,0
491,Mouse_Thymus1,21_36,4697,2635,0
492,Mouse_Thymus1,21_37,4697,2635,0
493,Mouse_Thymus1,21_39,4697,2635,0
494,Mouse_Thymus1,21_41,4697,2635,0
495,Mouse_Thymus1,21_45,4697,2635,0
496,Mouse_Thymus1,21_46,4697,2635,0
497,Mouse_Thymus1,21_47,4697,2635,0
498,Mouse_Thymus1,21_5,4697,2635,0
499,Mouse_Thymus1,21_51,4697,2635,0
500,Mouse_Thymus1,21_53,4697,2635,0
501,Mouse_Thymus1,21_55,4697,2635,0
502,Mouse_Thymus1,21_58,4697,2635,0
503,Mouse_Thymus1,21_6,4697,2635,0
504,Mouse_Thymus1,21_60,4697,2635,0
505,Mouse_Thymus1,21_64,4697,2635,0
506,Mouse_Thymus1,21_65,4697,2635,0
507,Mouse_Thymus1,21_66,4697,2635,0
508,Mouse_Thymus1,21_67,4697,2635,0
509,Mouse_Thymus1,21_71,4697,2635,0
510,Mouse_Thymus1,21_72,4697,2635,0
511,Mouse_Thymus1,21_74,4697,2635,0
512,Mouse_Thymus1,21_75,4697,2635,0
513,Mouse_Thymus1,21_76,4697,2635,0
514,Mouse_Thymus1,21_77,4697,2635,0
515,Mouse_Thymus1,21_8,4697,2635,0
516,Mouse_Thymus1,21_83,4697,2635,0
517,Mouse_Thymus1,21_9,4697,2635,0
518,Mouse_Thymus1,22_0,4697,2635,0
519,Mouse_Thymus1,22_1,4697,2635,0
520,Mouse_Thymus1,22_12,4697,2635,0
521,Mouse_Thymus1,22_14,4697,2635,0
522,Mouse_Thymus1,22_15,4697,2635,0
523,Mouse_Thymus1,22_16,4697,2635,0
524,Mouse_Thymus1,22_17,4697,2635,0
525,Mouse_Thymus1,22_19,4697,2635,0
526,Mouse_Thymus1,22_22,4697,2635,0
527,Mouse_Thymus1,22_23,4697,2635,0
528,Mouse_Thymus1,22_24,4697,2635,0
529,Mouse_Thymus1,22_26,4697,2635,0
530,Mouse_Thymus1,22_29,4697,2635,0
531,Mouse_Thymus1,22_3,4697,2635,0
532,Mouse_Thymus1,22_31,4697,2635,0
533,Mouse_Thymus1,22_32,4697,2635,0
534,Mouse_Thymus1,22_34,4697,2635,0
535,Mouse_Thymus1,22_35,4697,2635,0
536,Mouse_Thymus1,22_37,4697,2635,0
537,Mouse_Thymus1,22_38,4697,2635,0
538,Mouse_Thymus1,22_41,4697,2635,0
539,Mouse_Thymus1,22_42,4697,2635,0
540,Mouse_Thymus1,22_49,4697,2635,0
541,Mouse_Thymus1,22_50,4697,2635,0
542,Mouse_Thymus1,22_51,4697,2635,0
543,Mouse_Thymus1,22_55,4697,2635,0
544,Mouse_Thymus1,22_56,4697,2635,0
545,Mouse_Thymus1,22_57,4697,2635,0
546,Mouse_Thymus1,22_58,4697,2635,0
547,Mouse_Thymus1,22_59,4697,2635,0
548,Mouse_Thymus1,22_60,4697,2635,0
549,Mouse_Thymus1,22_61,4697,2635,0
550,Mouse_Thymus1,22_62,4697,2635,0
551,Mouse_Thymus1,22_64,4697,2635,0
