mode,scope,label,n_obs_labeled,n_label_classes,k,ari,nmi,homogeneity,completeness,v_measure,label_asw,label_asw_scaled,label_rows_in_full_order
independent,s2,annotations,2820,11,8,0.3444733604338941,0.587744056233725,0.6189376186294093,0.5595438538347086,0.587744056233725,0.1015751361846923,0.5507875680923462,"2384,2385,2386,2387,2388"
independent,s2,Y.l1,2820,9,8,0.4350865283476566,0.6200187194702944,0.7008922119057238,0.5558779175133135,0.6200187194702944,0.1153385043144226,0.5576692521572113,"2384,2385,2386,2387,2388"
independent,s2,Y,2820,11,8,0.3444733604338941,0.5877440562337254,0.6189376186294097,0.5595438538347088,0.5877440562337253,0.1015751361846923,0.5507875680923462,"2384,2385,2386,2387,2388"
independent,s3,RegionLoupe,2662,9,8,0.469354295135171,0.6008878979698679,0.6523978846724436,0.5569166214820724,0.600887897969868,0.1032247021794319,0.551612351089716,"5204,5205,5206,5207,5208"
independent,s3,annotations,2662,11,8,0.464956302767721,0.5925391542011959,0.5955189433205212,0.5895890364670027,0.5925391542011959,0.0953233838081359,0.547661691904068,"5204,5205,5206,5207,5208"
independent,s3,celltype,2662,11,8,0.464956302767721,0.5925391542011959,0.5955189433205212,0.5895890364670027,0.5925391542011959,0.0953233838081359,0.547661691904068,"5204,5205,5206,5207,5208"
independent,s3,Y.l1,2662,9,8,0.469354295135171,0.6008878979698679,0.6523978846724436,0.5569166214820724,0.600887897969868,0.1032247021794319,0.551612351089716,"5204,5205,5206,5207,5208"
independent,s3,Y,2662,11,8,0.464956302767721,0.5925391542011961,0.5955189433205214,0.5895890364670029,0.5925391542011961,0.0953233838081359,0.547661691904068,"5204,5205,5206,5207,5208"
independent,s1,RegionLoupe,2384,9,10,0.4265138260019222,0.628751444190005,0.7249873440383658,0.5550705523460234,0.6287514441900051,0.1038244515657424,0.5519122257828712,"0,1,2,3,4"
independent,s1,annotations,2384,11,10,0.4505727618941755,0.646947125617039,0.6928979857421205,0.6067118636364103,0.6469471256170389,0.1058109626173973,0.5529054813086987,"0,1,2,3,4"
independent,s1,celltype,2384,11,10,0.4505727618941755,0.646947125617039,0.6928979857421205,0.6067118636364103,0.6469471256170389,0.1058109626173973,0.5529054813086987,"0,1,2,3,4"
independent,s1,Y.l1,2384,9,10,0.4265138260019222,0.628751444190005,0.7249873440383658,0.5550705523460234,0.6287514441900051,0.1038244515657424,0.5519122257828712,"0,1,2,3,4"
independent,s1,Y,2384,11,10,0.4505727618941755,0.6469471256170389,0.6928979857421204,0.6067118636364102,0.6469471256170389,0.1058109626173973,0.5529054813086987,"0,1,2,3,4"
independent,s2,RegionLoupe,2820,9,10,0.3243603394216444,0.5802051074387937,0.7023731270438045,0.4942391017050617,0.5802051074387936,0.1153385043144226,0.5576692521572113,"2384,2385,2386,2387,2388"
independent,s2,annotations,2820,11,10,0.2870218419954134,0.5624294234364218,0.631812974570986,0.5067769077293328,0.5624294234364219,0.1015751361846923,0.5507875680923462,"2384,2385,2386,2387,2388"
independent,s2,Y.l1,2820,9,10,0.3243603394216444,0.5802051074387937,0.7023731270438045,0.4942391017050617,0.5802051074387936,0.1153385043144226,0.5576692521572113,"2384,2385,2386,2387,2388"
