section,spot_index,obs_name,cluster,stage
Mouse_Thymus3,421,99_36,0,Mouse_Thymus3
Mouse_Thymus3,422,119_57,0,Mouse_Thymus3
Mouse_Thymus3,423,59_20,1,Mouse_Thymus3
Mouse_Thymus3,424,90_55,1,Mouse_Thymus3
Mouse_Thymus3,425,40_35,5,Mouse_Thymus3
Mouse_Thymus3,426,80_18,0,Mouse_Thymus3
Mouse_Thymus3,427,69_26,0,Mouse_Thymus3
Mouse_Thymus3,428,89_18,0,Mouse_Thymus3
Mouse_Thymus3,429,95_32,8,Mouse_Thymus3
Mouse_Thymus3,430,109_30,5,Mouse_Thymus3
Mouse_Thymus3,431,27_47,0,Mouse_Thymus3
Mouse_Thymus3,432,98_32,6,Mouse_Thymus3
Mouse_Thymus3,433,97_58,1,Mouse_Thymus3
Mouse_Thymus3,434,56_36,0,Mouse_Thymus3
Mouse_Thymus3,435,92_36,9,Mouse_Thymus3
Mouse_Thymus3,436,87_59,8,Mouse_Thymus3
Mouse_Thymus3,437,79_22,0,Mouse_Thymus3
Mouse_Thymus3,438,63_27,6,Mouse_Thymus3
Mouse_Thymus3,439,99_27,0,Mouse_Thymus3
Mouse_Thymus3,440,2_51,9,Mouse_Thymus3
Mouse_Thymus3,441,105_30,1,Mouse_Thymus3
Mouse_Thymus3,442,101_49,1,Mouse_Thymus3
Mouse_Thymus3,443,34_34,6,Mouse_Thymus3
Mouse_Thymus3,444,50_14,8,Mouse_Thymus3
Mouse_Thymus3,445,16_53,1,Mouse_Thymus3
Mouse_Thymus3,446,24_45,6,Mouse_Thymus3
Mouse_Thymus3,447,47_43,8,Mouse_Thymus3
Mouse_Thymus3,448,113_64,5,Mouse_Thymus3
Mouse_Thymus3,449,39_42,0,Mouse_Thymus3
Mouse_Thymus3,450,24_55,5,Mouse_Thymus3
Mouse_Thymus3,451,3_49,6,Mouse_Thymus3
Mouse_Thymus3,452,37_26,5,Mouse_Thymus3
Mouse_Thymus3,453,74_19,6,Mouse_Thymus3
Mouse_Thymus3,454,20_55,1,Mouse_Thymus3
Mouse_Thymus3,455,112_65,9,Mouse_Thymus3
Mouse_Thymus3,456,16_44,5,Mouse_Thymus3
Mouse_Thymus3,457,56_46,6,Mouse_Thymus3
Mouse_Thymus3,458,95_37,0,Mouse_Thymus3
Mouse_Thymus3,459,122_51,8,Mouse_Thymus3
Mouse_Thymus3,460,51_27,0,Mouse_Thymus3
Mouse_Thymus3,461,18_55,1,Mouse_Thymus3
